Time [s],V [mV]
19.63333333,288.3675
19.65,542.522
19.66666667,777.1261
19.68333333,957.9668
19.7,1080.1564
19.71666667,1231.6716
19.73333333,1417.3998
19.75,1549.3646
19.76666667,1622.6784
19.78333333,1637.3412
19.8,1637.3412
19.81666667,1652.0039
19.83333333,1691.1046
19.85,1989.2473
19.86666667,2355.8162
19.88333333,2565.9824
19.9,2605.0831
19.91666667,2551.3196
19.93333333,2434.0176
19.95,2321.6031
19.96666667,2277.6149
19.98333333,2292.2776
20,2316.7155
20.01666667,2409.5797
20.03333333,2546.4321
20.05,2693.0596
20.06666667,2771.261
20.08333333,2629.521
20.1,2258.0645
20.11666667,1774.1935
20.13333333,1290.3226
20.15,865.1026
20.16666667,518.0841
20.18333333,278.5924
20.2,127.0772
20.21666667,68.4262
20.23333333,68.4262
20.25,68.4262
20.26666667,68.4262
20.28333333,68.4262
20.3,68.4262
20.31666667,68.4262
20.33333333,68.4262
20.35,83.089
20.36666667,117.3021
20.38333333,151.5152
20.4,185.7283
20.41666667,200.391
20.43333333,205.2786
20.45,215.0538
20.46666667,219.9413
20.48333333,234.6041
20.5,244.3793
20.51666667,263.9296
20.53333333,278.5924
20.55,298.1427
20.56666667,327.4682
20.58333333,371.4565
20.6,430.1075
20.61666667,518.0841
20.63333333,610.9482
20.65,698.9247
20.66666667,786.9013
20.68333333,850.4399
20.7,909.0909
20.71666667,957.9668
20.73333333,977.5171
20.75,987.2923
20.76666667,1006.8426
20.78333333,1036.1681
20.8,1085.044
20.81666667,1114.3695
20.83333333,1158.3578
20.85,1226.784
20.86666667,1300.0978
20.88333333,1363.6364
20.9,1412.5122
20.91666667,1456.5005
20.93333333,1510.2639
20.95,1564.0274
20.96666667,1603.1281
20.98333333,1652.0039
21,1744.868
21.01666667,1847.5073
21.03333333,1950.1466
21.05,2013.6852
21.06666667,2047.8983
21.08333333,2062.5611
21.1,2082.1114
21.11666667,2106.5494
21.13333333,2140.7625
21.15,2140.7625
21.16666667,2155.4252
21.18333333,2199.4135
21.2,2218.9638
21.21666667,2111.437
21.23333333,1847.5073
21.25,1471.1632
21.26666667,1075.2688
21.28333333,708.6999
21.3,420.3324
21.31666667,229.7165
21.33333333,117.3021
21.35,73.3138
21.36666667,68.4262
21.38333333,68.4262
21.4,83.089
21.41666667,102.6393
21.43333333,136.8524
21.45,166.1779
21.46666667,200.391
21.48333333,244.3793
21.5,288.3675
21.51666667,347.0186
21.53333333,395.8944
21.55,415.4448
21.56666667,415.4448
21.58333333,405.6696
21.6,391.0068
21.61666667,386.1193
21.63333333,376.3441
21.65,371.4565
21.66666667,376.3441
21.68333333,391.0068
21.7,410.5572
21.71666667,444.7703
21.73333333,488.7586
21.75,557.1848
21.76666667,640.2737
21.78333333,718.4751
21.8,791.7889
