Time [s],V [mV],,,
14.26666667,2434.0176,,,
14.28333333,2561.0948,,,
14.3,2712.61,,,
14.31666667,2854.35,,,
14.33333333,3005.8651,,,
14.35,3191.5934,,,
14.36666667,3411.5347,,,
14.38333333,3597.263,,,
14.4,3592.3754,,,
14.41666667,3113.392,,,
14.43333333,2189.6383,,,
14.45,1436.9501,,,
14.46666667,953.0792,,,
14.48333333,645.1613,,,
14.5,444.7703,,,
14.51666667,317.6931,,,
14.53333333,234.6041,,,
14.55,180.8407,,,
14.56666667,151.5152,,,
14.58333333,127.0772,,,
14.6,112.4145,,,
14.61666667,102.6393,,,
14.63333333,97.7517,,,
14.65,97.7517,,,
14.66666667,92.8641,,,
14.68333333,92.8641,,,
14.7,97.7517,,,
14.71666667,97.7517,,,
14.73333333,97.7517,,,
14.75,97.7517,,,
14.76666667,97.7517,,,
14.78333333,97.7517,,,
14.8,92.8641,,,
14.81666667,97.7517,,,
14.83333333,97.7517,,,
14.85,97.7517,,,
14.86666667,97.7517,,,
14.88333333,97.7517,,,
14.9,102.6393,,,
14.91666667,127.0772,,,
14.93333333,200.391,,,
14.95,322.5806,,,
14.96666667,474.0958,,,
14.98333333,640.2737,,,
15,835.7771,,,
15.01666667,1060.6061,,,
15.03333333,1275.6598,,,
15.05,1480.9384,,,
15.06666667,1681.3294,,,
15.08333333,1871.9453,,,
15.1,2077.2239,,,
15.11666667,2306.9404,,,
15.13333333,2521.9941,,,
15.15,2712.61,,,
15.16666667,2898.3382,,,
15.18333333,3069.4037,,,
15.2,3235.5816,,,
15.21666667,3426.1975,,,
15.23333333,3611.9257,,,
15.25,3797.654,,,
15.26666667,3983.3822,,,
15.28333333,4173.998,,,
15.3,4359.7263,,,
15.31666667,4560.1173,,,
15.33333333,4745.8456,,,
15.35,4907.1359,,,
15.36666667,5000,,,
15.38333333,5000,,,
15.4,5000,,,
15.41666667,5000,,,
15.43333333,5000,,,
15.45,5000,,,
15.46666667,5000,,,
15.48333333,4506.3539,,,
15.5,3142.7175,,,
15.51666667,2047.8983,,,
15.53333333,1348.9736,,,
15.55,899.3157,,,
15.56666667,606.0606,,,
15.58333333,420.3324,,,
15.6,307.9179,,,
15.61666667,229.7165,,,
15.63333333,185.7283,,,
15.65,151.5152,,,
15.66666667,131.9648,,,
15.68333333,117.3021,,,
15.7,107.5269,,,
15.71666667,102.6393,,,
15.73333333,97.7517,,,
15.75,97.7517,,,
15.76666667,97.7517,,,
15.78333333,102.6393,,,
15.8,102.6393,,,
15.81666667,92.8641,,,
15.83333333,97.7517,,,
15.85,97.7517,,,
15.86666667,97.7517,,,
15.88333333,97.7517,,,
15.9,97.7517,,,
15.91666667,97.7517,,,
15.93333333,102.6393,,,
15.95,102.6393,,,
15.96666667,97.7517,,,
15.98333333,97.7517,,,
16,107.5269,,,
16.01666667,146.6276,,,
16.03333333,224.8289,,,
16.05,332.3558,,,
16.06666667,483.871,,,
16.08333333,664.7116,,,
16.1,860.2151,,,
16.11666667,1050.8309,,,
16.13333333,1231.6716,,,
16.15,1407.6246,,,
16.16666667,1564.0274,,,
16.18333333,1725.3177,,,
16.2,1906.1584,,,
16.21666667,2062.5611,,,
16.23333333,2204.3011,,,
16.25,2331.3783,,,
16.26666667,2458.4555,,,
16.28333333,2595.3079,,,
16.3,2746.8231,,,
16.31666667,2898.3382,,,
16.33333333,3064.5161,,,
16.35,3240.4692,,,
16.36666667,3426.1975,,,
16.38333333,3616.8133,,,
16.4,3822.0919,,,
16.41666667,4056.696,,,
16.43333333,4296.1877,,,
16.45,4540.567,,,
16.46666667,4780.0587,,,
16.48333333,5000,,,
16.5,5000,,,
16.51666667,5000,,,
16.53333333,5000,,,
16.55,4960.8993,,,
16.56666667,3758.5533,,,
16.58333333,2482.8935,,,
16.6,1627.566,,,
16.61666667,1075.2688,,,
16.63333333,723.3627,,,
16.65,498.5337,,,
16.66666667,347.0186,,,
16.68333333,259.042,,,
16.7,200.391,,,
16.71666667,161.2903,,,
16.73333333,136.8524,,,
16.75,117.3021,,,
16.76666667,107.5269,,,
16.78333333,97.7517,,,
